step,wall_clock_s,mean_flow_time,makespan,n_completed,n_orders,n_decisions,decision_time_ms,sim_time_per_decision,solve_wall_clock_s,reward_sum,policy_loss,value_loss,entropy,approx_kl,clip_fraction,episode,sps,gpu_mem_gb
1,2.925,2137.666666666667,7411.66666666667,100,100,1031,1.9716118344048872,7.188813449725189,2.2525665760040283,-2137.666666666667,-0.03160998279995778,1446.236550723805,1.275807326330858,0.018654584857251716,0.14036239595974193,1,352.43353671164147,0.30533790588378906
2,5.551,2182.1566666666668,7559.333333333334,100,100,1029,1.9783847427911572,7.346290897311306,2.2574667930603027,-2182.1566666666668,-0.016941044370041174,1497.9582268210017,1.2317655577379114,0.020906945676816738,0.1909926472341313,2,371.0937143386279,0.30533790588378906
3,8.231,2076.1133333333332,7475.000000000004,100,100,1032,1.9928309105358324,7.243217054263569,2.2749335765838623,-2076.1133333333332,-0.02703918675508569,1354.8620210535387,1.2325813034001518,0.012916644487310858,0.19898897058823528,3,375.70465961641344,0.30533790588378906
4,10.872,2091.1133333333332,7490.000000000002,100,100,1032,1.9784914721083258,7.257751937984498,2.257345199584961,-2091.1133333333332,0.00011190700837794473,1402.678071863511,1.1849247620386236,0.01915380436762729,0.2026654411764706,4,379.33041093838,0.30533790588378906
5,13.508,2152.899999999999,7631.000000000003,100,100,1032,1.9658991257938043,7.394379844961243,2.2471628189086914,-2152.899999999999,-0.04655969320960781,1412.9865184110754,1.1640548583339243,0.016588792369207916,0.23253676470588236,5,381.69459608830414,0.30533790588378906
6,16.155,2023.8199999999997,7433.666666666671,100,100,1030,1.9784982511728495,7.217152103559874,2.2489559650421143,-2023.8199999999997,-0.014847660272875252,1305.5443438361672,1.0940991114167606,0.027615858327515203,0.22732843151863882,6,382.9129806703799,0.30533790588378906
7,18.759,2045.1599999999996,7252.0,100,100,1033,1.9378632137782705,7.0203291384317525,2.217745542526245,-2045.1599999999996,-0.028205852846012396,1272.6816154928767,1.0804035909035627,0.028131809291046334,0.24142156891963062,7,384.8372324436957,0.30533790588378906
8,21.625,2059.353333333334,7532.333333333334,100,100,1039,2.1451543788026743,7.249598973371833,2.448791980743408,-2059.353333333334,-0.03959136721951997,1260.9433773265166,1.0721431690103866,0.025823696174056214,0.2260416676016415,8,381.8652246898473,0.30533790588378906
9,24.607,1973.7333333333333,7416.33333333333,100,100,1040,2.257287692918908,7.13108974358974,2.5650534629821777,-1973.7333333333333,-0.03850172421730617,1200.7212937298943,1.106562886167975,0.014479637892423746,0.17693014705882354,9,377.8637973594925,0.30533790588378906
10,31.484,2077.169999999999,7603.666666666668,100,100,1029,2.348502137154283,7.389374797538064,2.6340744495391846,-2077.169999999999,-0.017522611052674407,1344.0915222167969,1.087784411276088,0.017996122875689146,0.22270220605766072,10,373.2989526197004,0.30533790588378906
11,34.332,2077.0366666666655,7465.666666666662,100,100,1034,2.1387549335401816,7.220180528691163,2.4320993423461914,-2077.0366666666655,-0.028100659844794255,1309.799996768727,1.0964787584893845,0.0071722330415950105,0.19163602941176472,11,330.913578127569,0.30533790588378906
12,37.229,2065.5100000000007,7367.000000000003,100,100,1029,2.1892451895925826,7.15937803692906,2.4720590114593506,-2065.5100000000007,0.006384428782279,1369.754627900965,0.9624365042237675,0.016620250418782234,0.22766544143943226,12,332.8019268296586,0.30533790588378906
13,40.278,2193.243333333333,7726.000000000001,100,100,1030,2.3292448528752963,7.500970873786408,2.6261885166168213,-2193.243333333333,-0.02097073317888905,1438.1858700022979,1.0089472716345507,0.01179565119502299,0.19669117690885768,13,333.1821351299596,0.30533790588378906
14,43.29,2082.62,7332.000000000001,100,100,1030,2.305724273788408,7.1184466019417485,2.594958782196045,-2082.62,-0.024557516252731577,1301.2575306611902,0.945890791275922,0.003153589218580986,0.19898897058823528,14,333.7961448123271,0.30533790588378906
15,46.163,2050.37,7324.666666666668,100,100,1034,2.1668482586251465,7.0838168923275315,2.461860179901123,-2050.37,-0.0163436630357276,1233.266659007353,0.9305541936089011,0.015061035211307599,0.22242647080737002,15,335.41790791375473,0.30533790588378906
