step,wall_clock_s,mean_flow_time,makespan,n_completed,n_orders,n_decisions,decision_time_ms,sim_time_per_decision,solve_wall_clock_s,reward_sum,policy_loss,value_loss,entropy,approx_kl,clip_fraction,episode,sps,gpu_mem_gb
1,2.971,1952.9533333333331,7505.999999999998,100,100,1090,2.0210762385390018,6.88623853211009,2.448042154312134,-1952.9533333333331,-0.04208995681256056,1096.8540785047744,1.0177910774946213,0.011339140047008792,0.1015625,1,367.0310887592643,0.3036918640136719
2,5.917,2023.7566666666671,7669.3333333333385,100,100,1090,2.0984118350422643,7.03608562691132,2.5439116954803467,-2023.7566666666671,-0.01911553691348268,1199.6160252888997,0.9851400421725379,0.010419102036394179,0.21006944444444445,2,368.4240506140399,0.3036918640136719
3,8.852,1972.1599999999996,7705.999999999998,100,100,1089,2.076589439963944,7.076216712580347,2.5106799602508545,-1972.1599999999996,-0.08823058055713773,1069.64734310574,0.9288771218723721,0.016026943081265524,0.1870659722222222,3,369.2994412234153,0.3036918640136719
4,11.775,2006.7266666666674,7462.000000000004,100,100,1089,2.067943250066006,6.852157943067037,2.504176616668701,-2006.7266666666674,0.01773585208381216,1217.2078145345051,0.9693840559985902,0.01096344939691739,0.2009548611111111,4,370.0917889460156,0.3036918640136719
5,14.588,1946.79,7487.333333333333,100,100,1087,1.9983997213565972,6.8880711438209135,2.417022466659546,-1946.79,-0.034950448857510794,1119.127581428079,0.9486902847009546,0.015080991331213975,0.20295722563477123,5,373.2556709999034,0.3036918640136719
6,17.456,1920.183333333334,7524.666666666667,100,100,1089,2.019278696674898,6.909703091521274,2.4475648403167725,-1920.183333333334,-0.028719099290255044,1068.413324991862,0.8855561721656058,0.006671065516355965,0.19444444444444445,6,374.3217989169634,0.3036918640136719
7,20.378,2043.22,7655.999999999999,100,100,1089,2.0619368256959993,7.030303030303029,2.503486156463623,-2043.22,-0.06409694927020206,1140.9336979124282,0.8914364212089114,0.010754607883023305,0.2204861111111111,7,374.0987759376075,0.3036918640136719
8,23.396,1994.9100000000003,7620.666666666669,100,100,1088,2.175840994609376,7.004289215686277,2.6180243492126465,-1994.9100000000003,-0.02678381821469349,1152.1239390653723,0.8102276360287386,0.004862415029064697,0.18658088235294118,8,372.34067830267776,0.3036918640136719
9,26.334,1936.4100000000017,7692.333333333338,100,100,1087,2.1089952165541934,7.076663600122665,2.537534236907959,-1936.4100000000017,-0.0278788741587264,1057.0043406767004,0.8020607741440043,0.014084039132713395,0.1859170763808138,9,372.07293550346805,0.3036918640136719
10,32.845,1936.1833333333334,7563.666666666666,100,100,1088,2.1309336420124643,6.951899509803921,2.5658907890319824,-1936.1833333333334,-0.02506777666070882,1046.1453139361213,0.7090479310821084,0.015476180281599654,0.20450367647058823,10,371.52328469750495,0.3036918640136719
11,35.797,1982.8699999999988,7649.999999999998,100,100,1088,2.1060639706667965,7.031249999999998,2.546792984008789,-1982.8699999999988,-0.01972409009056933,1099.488078397863,0.6448999450487249,0.022008245495860192,0.17738970588235295,11,334.49974662720865,0.3036918640136719
12,38.8,2028.3900000000003,7642.33333333333,100,100,1088,2.152825277281569,7.0242034313725465,2.5938103199005127,-2028.3900000000003,-0.021369811202235082,1136.3000990923713,0.6122341953656253,0.028115201012149232,0.18060661764705882,12,336.64791899154426,0.3036918640136719
13,41.87,2009.9333333333332,7556.666666666666,100,100,1090,2.1918199976709665,6.932721712538226,2.64351749420166,-2009.9333333333332,0.0036646483672989737,1081.604729546441,0.6135264452960756,0.03863802828224531,0.22178819444444445,13,338.00028856368414,0.3036918640136719
14,44.907,1834.93,7303.999999999997,100,100,1089,2.174378971482009,6.707070707070705,2.6111910343170166,-1834.93,0.007965094772064023,928.8066575792101,0.5245083102749454,0.04805248729664729,0.1931423611111111,14,339.39278342174543,0.3036918640136719
15,47.935,2006.3066666666666,7709.333333333332,100,100,1088,2.1833805168331737,7.0857843137254894,2.6247196197509766,-2006.3066666666666,-0.015609996283755583,1086.192232019761,0.5254872844499701,0.07227264608338695,0.19301470588235295,15,340.6470013797865,0.3036918640136719
16,50.983,1911.35,7490.333333333333,100,100,1087,2.1954676187353033,6.8908310334253295,2.638918399810791,-1911.35,-0.01110509070841705,1013.028169519761,0.5061583071947098,0.058808011653394825,0.15966386610970779,16,341.60257817358973,0.3036918640136719
17,54.028,2001.633333333332,7669.999999999996,100,100,1087,2.1871298989803694,7.056117755289785,2.6261560916900635,-2001.633333333332,-0.010270446867627256,1059.279354319853,0.4956556111574173,0.0786841225995244,0.16472630772520513,17,342.4753382271986,0.3036918640136719
18,57.072,1951.503333333333,7473.666666666662,100,100,1088,2.184080791052753,6.869178921568624,2.6245739459991455,-1951.503333333333,-0.010821554590674007,1020.4550942813648,0.4620632353950949,0.08026823532247149,0.16773897058823528,18,343.2668918631716,0.3036918640136719
19,60.115,1948.823333333334,7475.0,100,100,1085,2.1990262652202275,6.889400921658986,2.632960557937622,-1948.823333333334,-0.02459030631272232,1006.837978587431,0.4592205522691502,0.071803390952375,0.17937861558269053,19,343.94040090201486,0.3036918640136719
20,66.799,2048.156666666667,7775.000000000001,100,100,1089,2.2040056039068654,7.1395775941230495,2.651580333709717,-2048.156666666667,-0.019798587645507522,1052.6239954630535,0.48302403340737027,0.04971670073508802,0.16102430555555555,20,344.3500518669358,0.3036918640136719
21,69.769,1925.2166666666662,7579.333333333333,100,100,1089,2.118528743177871,6.9599020508111415,2.5514912605285645,-1925.2166666666662,-0.025449620766772166,921.8789660135905,0.491985992838939,0.05995899628356306,0.15538194444444445,21,327.56825123200554,0.3036918640136719
22,72.743,1955.8866666666677,7544.999999999999,100,100,1089,2.1125049594553706,6.928374655647382,2.5470964908599854,-1955.8866666666677,-0.03916059574112296,923.2541388273239,0.4517117184179545,0.1640963921090588,0.16493055555555555,22,329.1464811436196,0.3036918640136719
23,75.678,1983.8166666666664,7654.666666666668,100,100,1087,2.1000838094830456,7.042011652867219,2.5303399562835693,-1983.8166666666664,-0.007324922309421441,966.292620490579,0.42806711091714744,0.12619582060998416,0.10949171400245498,23,330.7427471702327,0.3036918640136719
24,78.614,1956.756666666667,7528.333333333332,100,100,1087,2.0944957671517366,6.925789635081262,2.5297861099243164,-1956.756666666667,-0.006627856164841968,929.9926686006434,0.4370992131092969,0.08598755641073427,0.08462447497774572,24,332.22004560148656,0.3036918640136719
