step,wall_clock_s,mean_flow_time,makespan,n_completed,n_orders,n_decisions,decision_time_ms,sim_time_per_decision,solve_wall_clock_s,reward_sum,policy_loss,value_loss,entropy,approx_kl,clip_fraction,episode,sps,gpu_mem_gb
1,4.867,2054.1866666666665,7427.666666666669,100,100,1030,3.1518979611654934,7.211326860841426,3.695624351501465,-2054.1866666666665,-0.037438967237796855,1308.6684175379137,1.286845186177422,0.007670177557670018,0.09895833362551297,1,211.62996836866293,0.2971920967102051
2,8.55,2184.6600000000008,7485.666666666671,100,100,1037,2.534669431051299,7.218579234972681,3.0947985649108887,-2184.6600000000008,-0.04380801314597621,1439.0573425292969,1.2640955763704635,0.006904432741815553,0.19746889195898,2,241.789427305846,0.2971920967102051
3,12.041,2116.0533333333333,7540.000000000001,100,100,1030,2.3551742718449558,7.320388349514564,2.871765375137329,-2116.0533333333333,-0.0588283491156557,1376.2259952320771,1.2408370112671572,0.01298105125041569,0.20143995171084123,3,257.2025927689409,0.2971920967102051
4,15.477,2095.8433333333323,7590.000000000001,100,100,1032,2.319684496123673,7.354651162790699,2.8310391902923584,-2095.8433333333323,-0.024005464853390175,1407.8528550091912,1.1629587411880493,0.02420382377664175,0.17049632352941177,4,266.7794216738755,0.29803037643432617
5,19.01,2145.100000000001,7480.999999999997,100,100,1028,2.3938071011686097,7.2772373540856,2.9079506397247314,-2145.100000000001,-0.02040275958750178,1458.877742991728,1.161509270177168,0.02603499453706557,0.203125,5,271.2726644467233,0.29803037643432617
6,22.563,2170.623333333333,7522.999999999996,100,100,1033,2.4272066795727665,7.282671829622456,2.9568586349487305,-2170.623333333333,-0.02800932537545176,1482.9749181410846,1.1825470976969774,0.016782408655511543,0.2162990201922024,6,274.3376376617938,0.29803037643432617
7,26.084,2021.9533333333331,7401.999999999997,100,100,1030,2.399962524272008,7.186407766990289,2.9158921241760254,-2021.9533333333331,-0.036947233164135146,1235.3723180434283,1.0915566595161663,0.014040534514659905,0.1979166668127565,7,276.80310877783734,0.29803037643432617
8,29.483,2131.9333333333348,7603.333333333336,100,100,1032,2.2989657945750417,7.367571059431527,2.8146653175354004,-2131.9333333333348,-0.05379567629493335,1374.2063796099494,1.1303709096768324,0.014425959581892718,0.20036764705882354,8,279.90284235730047,0.29803037643432617
9,32.973,2094.03,7441.666666666669,100,100,1029,2.3753346938780564,7.2319403952057035,2.884366035461426,-2094.03,-0.023484981728388983,1346.9090217141545,1.102348886868533,0.01991770719178021,0.21102941211532145,9,281.4767454647254,0.29803037643432617
10,41.182,2096.553333333334,7435.333333333332,100,100,1033,2.487381800579194,7.197805743788318,3.0115339756011963,-2096.553333333334,-0.04226580078658812,1348.8822129193475,1.117819491554709,0.00747869849917205,0.19735498397665865,10,281.9864742082806,0.29803037643432617
11,44.922,2172.703333333334,7517.000000000003,100,100,1032,2.6034756782952497,7.2839147286821735,3.1397526264190674,-2172.703333333334,-0.02824631968841833,1485.665283203125,1.0955764546113855,0.00478690243600046,0.2587316176470588,11,252.57030596803367,0.29803037643432617
