step,wall_clock_s,mean_flow_time,makespan,n_completed,n_orders,n_decisions,decision_time_ms,sim_time_per_decision,solve_wall_clock_s,reward_sum,policy_loss,value_loss,entropy,approx_kl,clip_fraction,episode,sps,gpu_mem_gb
1,3.105,2061.8266666666664,7712.999999999999,100,100,1089,2.133680897622897,7.082644628099173,2.576918125152588,-2061.8266666666664,-0.07353833716155754,1617.732800801595,1.0256006552113428,0.019391446684797604,0.15147569444444445,1,350.6945836401286,0.3036918640136719
2,6.017,1889.0699999999995,7558.000000000002,100,100,1089,2.0854666671323137,6.940312213039488,2.5145463943481445,-1889.0699999999995,0.016397035059829552,1472.095235188802,0.9923467602994707,0.008714250263033642,0.19227430555555555,2,361.9949915381754,0.3036918640136719
3,8.984,1949.5433333333337,7528.000000000002,100,100,1087,2.1227665111446528,6.9254829806807745,2.565077066421509,-1949.5433333333337,-0.03549619019031525,1486.7585305606617,0.9704373513951021,0.016147873302757302,0.19095033889307694,3,363.4392400877144,0.3036918640136719
4,12.008,1973.3066666666668,7549.666666666667,100,100,1089,2.145029475726016,6.9326599326599325,2.589272975921631,-1973.3066666666668,-0.07320259894347853,1527.3916804260678,0.921289689011044,0.014214559024872465,0.21788194444444445,4,362.5916015070961,0.3036918640136719
5,14.992,2036.4566666666665,7682.666666666666,100,100,1091,2.123862054556656,7.041857622975862,2.5679519176483154,-2036.4566666666665,-0.03942048979095287,1652.689192030165,0.8922035959031847,0.010854454471781436,0.22236689842409557,5,363.1898021301307,0.3036918640136719
6,18.091,2024.556666666667,7641.333333333333,100,100,1090,2.219434495515472,7.010397553516819,2.669135808944702,-2024.556666666667,-0.025537203221271437,1606.896240234375,0.9331399069892036,0.012502508755359385,0.1957465277777778,6,361.2331569879114,0.3036918640136719
7,21.2,2031.8233333333326,7654.333333333338,100,100,1090,2.2260929355312378,7.0223241590214105,2.679502248764038,-2031.8233333333326,0.0016908888291153642,1689.3033413357205,0.8447328640355004,0.02558482825083451,0.21223958333333334,7,359.66967298509024,0.3036918640136719
8,24.235,1985.2866666666662,7753.000000000002,100,100,1086,2.1872064479263105,7.139042357274403,2.6303648948669434,-1985.2866666666662,-0.02982795999988037,1580.7800149356617,0.8027831649079042,0.011730986972585978,0.20677182122188456,8,359.4411882777369,0.3036918640136719
9,27.287,2073.1800000000007,7702.666666666671,100,100,1091,2.1857322631386733,7.060189428658727,2.638558864593506,-2073.1800000000007,-0.04509546830215388,1666.7766723632812,0.769685889283816,0.01893052061010773,0.21629050953520668,9,359.2161936813283,0.3036918640136719
10,33.988,2061.5233333333326,7554.333333333336,100,100,1087,2.172425853344676,6.949708678319536,2.6133460998535156,-2061.5233333333326,-0.029588880346101874,1718.7425644818475,0.6907099327620339,0.02467192181468229,0.1973987515358364,10,359.2608464178866,0.3036918640136719
11,37.016,1959.1366666666665,7547.333333333337,100,100,1090,2.156409355405923,6.924159021406731,2.6011016368865967,-1959.1366666666665,0.018176342490025692,1567.61424085829,0.624755354391204,0.04623210686582348,0.24609375,11,323.61406476289136,0.3036918640136719
12,39.968,1910.530000000001,7508.333333333336,100,100,1087,2.104347375955813,6.907390371051827,2.5382866859436035,-1910.530000000001,-0.024674147970097905,1458.5544002757354,0.5916154077824425,0.019118625064626995,0.19410889420439215,12,326.9111767852471,0.3036918640136719
13,42.906,1937.9733333333334,7590.333333333332,100,100,1088,2.108873440139338,6.9764093137254894,2.5399816036224365,-1937.9733333333334,-0.019285194356651866,1484.7924194335938,0.5467177760951659,0.03558339600396507,0.18841911764705882,13,329.8857606929014,0.3036918640136719
14,45.893,1974.4366666666672,7475.333333333332,100,100,1089,2.133139576959613,6.8644015916743175,2.5694515705108643,-1974.4366666666672,-0.017326709555668965,1568.929970635308,0.5284428618486143,0.02996609257792847,0.13671875,14,332.14845062704086,0.3036918640136719
15,48.848,1981.260000000001,7517.000000000003,100,100,1087,2.1260436994846987,6.915363385464584,2.5598273277282715,-1981.260000000001,-0.017965250922476545,1544.1780539119945,0.5344806646599489,0.04060633434667526,0.16013071948991103,15,334.30024976885284,0.3036918640136719
16,51.792,1935.8699999999997,7526.333333333336,100,100,1085,2.1157937334670174,6.936712749615977,2.542393207550049,-1935.8699999999997,-0.013145032284014365,1481.763718548943,0.5004048478953979,0.041632507133352405,0.15576030576930328,16,336.248455738322,0.3036918640136719
17,54.778,1995.1466666666665,7645.666666666667,100,100,1090,2.1213821093808143,7.014373088685016,2.5664119720458984,-1995.1466666666665,-0.05460259235567517,1532.7041479746501,0.48438799877961475,0.041292092840497695,0.1545138888888889,17,337.8194923846565,0.3036918640136719
18,57.685,1931.7533333333333,7428.666666666665,100,100,1088,2.077424907410579,6.827818627450979,2.5064611434936523,-1931.7533333333333,-0.010133752544574878,1490.506150189568,0.5052063140799018,0.0678778313791982,0.1567095588235294,18,339.6525708291186,0.3036918640136719
19,60.613,1996.0333333333338,7625.000000000001,100,100,1089,2.07604233391884,7.001836547291093,2.506998300552368,-1996.0333333333338,-0.04116103896457288,1554.143638584349,0.49985692362491185,0.07879001392413759,0.1449652777777778,19,341.2134066974753,0.3036918640136719
20,67.021,1915.103333333334,7548.000000000006,100,100,1087,2.145916650524978,6.943882244710218,2.5765950679779053,-1915.103333333334,-0.013399123186793397,1432.5564575195312,0.49068593891227946,0.06943134214345585,0.13477474363411174,20,342.36270420637203,0.3036918640136719
21,69.992,1935.8733333333332,7599.333333333333,100,100,1089,2.106985398072192,6.978267523722069,2.546416759490967,-1935.8733333333332,-0.0012301995884627104,1464.351825290256,0.5285385276525226,0.07047939023727344,0.171875,21,326.58442306082907,0.3036918640136719
22,72.937,1970.6800000000003,7537.333333333336,100,100,1089,2.0916513321259296,6.921334557698196,2.5257279872894287,-1970.6800000000003,-0.03471366616172923,1497.457644144694,0.5419568560189671,0.11804792372923759,0.16015625,22,328.3252995920615,0.3036918640136719
23,75.918,2008.9366666666665,7665.333333333336,100,100,1089,2.125779613557454,7.038873584328132,2.563181161880493,-2008.9366666666665,-0.032811172823939055,1582.6072624524434,0.4925511533283938,0.10032041316541533,0.10850694444444445,23,329.7781477690425,0.3036918640136719
24,78.885,1948.8500000000004,7522.666666666667,100,100,1085,2.1483058064815497,6.933333333333334,2.5756144523620605,-1948.8500000000004,-0.014932156814371838,1561.6464592428767,0.48593946414835315,0.07884682583458283,0.13416104106342092,24,331.13148994325536,0.3036918640136719
25,81.86,1940.95,7562.000000000001,100,100,1091,2.1187456474723985,6.931255728689277,2.557088613510132,-1940.95,-0.060981977730989456,1442.2205327351887,0.48972520761890337,0.12000597509783499,0.15205439842409557,25,332.4191925898021,0.3036918640136719
26,84.876,2062.733333333334,7666.333333333331,100,100,1087,2.163148755974478,7.052744556884389,2.6093695163726807,-2062.733333333334,-0.011710509931778206,1686.2737462660846,0.49721399475546446,0.061155126813580006,0.11689571729477714,26,333.41659546901826,0.3036918640136719
27,87.904,1994.9499999999994,7569.666666666666,100,100,1089,2.1740278229972603,6.951025405570859,2.616830348968506,-1994.9499999999994,-0.02415804968525966,1524.7509897020127,0.4689879040621842,0.07593497302797106,0.11979166666666667,27,334.3183885300175,0.3036918640136719
28,90.827,1928.236666666667,7510.666666666666,100,100,1087,2.093434683047235,6.909536951855259,2.522810697555542,-1928.236666666667,-0.007273553158430492,1500.3420661477483,0.5023073869593003,0.06826277214157231,0.12473010074566393,28,335.53161791248715,0.3036918640136719
29,93.818,2001.523333333333,7564.999999999998,100,100,1089,2.1316939390831453,6.946740128558309,2.5705318450927734,-2001.523333333333,0.02589057551489936,1589.3733520507812,0.5026206705305312,0.06076024422266831,0.0993923611111111,29,336.4370245847467,0.3036918640136719
30,100.207,1956.190000000001,7572.333333333334,100,100,1091,2.13710357512729,6.9407271616254205,2.5802738666534424,-1956.190000000001,0.03690589074459341,1574.942430284288,0.5791765219635434,0.17559574041256887,0.1430844912926356,30,337.24229607797065,0.3036918640136719
31,103.036,1998.816666666667,7711.000000000002,100,100,1084,2.0040391172828818,7.113468634686349,2.415802240371704,-1998.816666666667,-0.017426227328970152,1592.5355475930608,0.5348516246851753,0.06556606025654166,0.13520220645210324,31,327.4516311425714,0.3036918640136719
32,105.857,1939.6666666666663,7494.666666666665,100,100,1084,2.003402857181214,6.913899138991389,2.4152557849884033,-1939.6666666666663,-0.004732917282072937,1502.4401352826287,0.5578971075661042,0.13734004760215826,0.13391544165856697,32,328.9639208220067,0.3036918640136719
