step,wall_clock_s,mean_flow_time,makespan,n_completed,n_orders,n_decisions,decision_time_ms,sim_time_per_decision,solve_wall_clock_s,reward_sum,policy_loss,value_loss,entropy,approx_kl,clip_fraction,episode,sps,gpu_mem_gb
1,5.584,2010.9566666666672,7724.333333333334,100,100,1092,4.115624541025301,7.073565323565324,4.873003244400024,-2010.9566666666672,-0.013183450895465083,1183.6166008843315,1.066460379295879,0.011507855780008767,0.12760416666666666,1,195.57618785234357,0.3036918640136719
2,12.679,1975.8933333333332,7670.33333333333,100,100,1087,5.646142410221505,7.056424409690276,6.544541358947754,-1975.8933333333332,-0.03980371739496203,1121.9672223259422,0.9969554087694954,0.017691469080198335,0.21213381343028126,2,171.8676905576549,0.3036918640136719
3,18.197,2006.19,7724.666666666667,100,100,1089,4.148774929887712,7.0933578206305485,4.902935028076172,-2006.19,-0.020863503062476713,1163.9456515842014,0.96012468304899,0.012142110538358489,0.1896701388888889,3,179.58714084482665,0.3036918640136719
4,23.785,2017.186666666667,7562.33333333333,100,100,1091,4.181445921548428,6.931561258783987,4.960416078567505,-2017.186666666667,-0.004818213948359092,1159.1886461046006,0.9642964286936654,0.010871377236778952,0.1779513888888889,4,183.270502576567,0.3036918640136719
5,29.257,1927.5133333333347,7545.333333333337,100,100,1088,4.132054688585306,6.935049019607846,4.877515077590942,-1927.5133333333347,-0.03185925950460574,1053.3800766888787,0.9358762853285846,0.012763018466477446,0.18336397058823528,5,186.18301530006377,0.3036918640136719
6,34.754,1934.456666666667,7495.333333333336,100,100,1090,4.107551100351976,6.876452599388381,4.864715814590454,-1934.456666666667,-0.013820473932557635,1062.6918097601997,0.9318595611386828,0.015264725480746064,0.16536458333333334,6,188.09164808760042,0.3036918640136719
7,40.308,1935.3900000000008,7573.33333333334,100,100,1089,4.168516710504061,6.95439240893787,4.933223247528076,-1935.3900000000008,-0.0043362775403592325,1094.1922692192925,0.929647856288486,0.008404219160891242,0.18359375,7,189.19155341745443,0.3036918640136719
8,45.734,1876.8500000000008,7470.333333333334,100,100,1090,4.052543484738284,6.853516819571866,4.79701828956604,-1876.8500000000008,0.006355033049152957,1048.5672641330295,0.8340802623165978,0.006206249546570082,0.2126736111111111,8,190.58162880561747,0.3036918640136719
9,51.197,1946.9666666666665,7539.000000000002,100,100,1089,4.039239945361362,6.922865013774106,4.778894424438477,-1946.9666666666665,-0.05159428705357843,1026.500214046902,0.7505653210812144,0.009137034649029374,0.24131944444444445,9,191.51898512941213,0.3036918640136719
10,63.212,1975.7033333333334,7443.666666666665,100,100,1089,4.04539421537277,6.835322926232016,4.789923429489136,-1975.7033333333334,-0.06345442061622937,1074.624860551622,0.7098519255717596,0.011748647815289183,0.1892361111111111,10,192.519599924763,0.3036918640136719
11,68.64,2012.8333333333337,7707.999999999999,100,100,1090,4.063860184743727,7.071559633027522,4.81266450881958,-2012.8333333333337,-0.059268483995563455,1100.517474770546,0.6915752391020457,-0.002724883638115393,0.1775173611111111,11,174.593724462199,0.3036918640136719
12,75.758,1931.7233333333338,7489.333333333335,100,100,1088,5.394080789782867,6.88357843137255,6.521015882492065,-1931.7233333333338,-0.02430209588697728,1031.2893389533547,0.6297488151227727,0.016679539578035474,0.15211397058823528,12,172.5495360477694,0.3036918640136719
13,81.164,1933.526666666667,7538.999999999998,100,100,1088,4.069929688686149,6.929227941176469,4.807198762893677,-1933.526666666667,-0.02474957162185627,1008.6990428251379,0.6476205534794751,0.012116614338832305,0.16498161764705882,13,174.4619600404148,0.3036918640136719
14,86.53,1906.9499999999994,7442.333333333334,100,100,1088,4.046066544319996,6.840379901960785,4.77907919883728,-1906.9499999999994,-0.024310135282576084,1012.7719906077665,0.5859126378508175,0.03028969807029866,0.21875,14,176.21733753284883,0.3036918640136719
15,92.012,1942.7766666666662,7557.3333333333285,100,100,1089,4.112317998973949,6.939700030609117,4.873633146286011,-1942.7766666666662,-0.022838728605873056,1028.3325826856826,0.5553558154755996,0.016347259645246796,0.15885416666666666,15,177.55313934925942,0.3036918640136719
16,97.367,2053.75,7643.666666666665,100,100,1087,4.038868537523956,7.031892057651026,4.774173736572266,-2053.75,-0.01985839187331936,1133.8727291331572,0.5996480978587094,0.04290566995383843,0.18037319227176554,16,178.95242778373105,0.3036918640136719
17,102.784,1942.3833333333341,7657.666666666669,100,100,1088,4.082316639195436,7.038296568627453,4.821444272994995,-1942.3833333333341,-0.019333852071534183,995.7754121668198,0.5699997702065636,0.039872429888311994,0.1870404411764706,17,180.10620913640153,0.3036918640136719
18,108.216,1912.243333333333,7450.999999999999,100,100,1086,4.101747327268082,6.860957642725598,4.837211847305298,-1912.243333333333,-0.015366427436032715,946.6372698615579,0.4983803866540684,0.05548550358370823,0.19120611907804713,18,181.1017927173906,0.3036918640136719
19,113.606,1938.3366666666664,7549.666666666667,100,100,1088,4.076942553557969,6.939031862745098,4.812602996826172,-1938.3366666666664,-0.01563551660407992,973.2923207002527,0.5137459802276948,0.07614491689566742,0.19852941176470587,19,182.08505322675845,0.3036918640136719
20,125.691,1911.2066666666663,7462.666666666665,100,100,1090,4.0934323866151,6.846483180428133,4.84708046913147,-1911.2066666666663,0.0026339429120222726,928.5314483642578,0.5761282559898164,0.06923574105732971,0.22960069444444445,20,182.88698121255382,0.3036918640136719
21,131.391,1954.3466666666664,7529.0,100,100,1090,4.308262387709265,6.9073394495412845,5.083786725997925,-1954.3466666666664,-0.006224395267458426,952.5575544569227,0.5051873959600925,0.06060255829813994,0.20008680555555555,21,174.02958435723446,0.3036918640136719
22,136.84,1950.246666666666,7498.333333333331,100,100,1088,4.107557814516921,6.891850490196076,4.866034507751465,-1950.246666666666,-0.019247381947934628,916.4579719094669,0.4857799594893175,0.059614729944287854,0.18336397058823528,22,175.05141154869338,0.3036918640136719
23,142.271,1947.1066666666677,7466.000000000004,100,100,1090,4.076795320137652,6.849541284403673,4.8217761516571045,-1947.1066666666677,0.03441656448153986,949.193103366428,0.528166140947077,0.050445741016624704,0.16710069444444445,23,176.03040976389735,0.3036918640136719
24,147.695,1935.2033333333334,7579.666666666669,100,100,1087,4.091653266982471,6.973014412756825,4.824169874191284,-1935.2033333333334,-0.017944875392405427,879.4866638183594,0.5291787342113607,0.05240077162435388,0.1256127458284883,24,176.9258185578214,0.3036918640136719
25,153.152,1976.8233333333344,7573.000000000004,100,100,1088,4.116598620599047,6.960477941176474,4.866297245025635,-1976.8233333333344,-0.00891870808075456,907.9554138183594,0.5369495819596684,0.058901832647868156,0.11259191176470588,25,177.72663516946284,0.3036918640136719
26,158.604,1962.1533333333334,7591.000000000002,100,100,1088,4.116254870442551,6.977022058823531,4.866016387939453,-1962.1533333333334,-0.013733326676575577,866.7970455394071,0.5101913178668303,0.1080231938531677,0.14246323529411764,26,178.4764513380336,0.3036918640136719
27,164.15,2018.8266666666664,7543.999999999999,100,100,1091,4.144936111541405,6.9147571035747015,4.9194440841674805,-2018.8266666666664,-0.0028730356134474277,932.1059315999349,0.49839213063488486,0.07603238051740391,0.12586805555555555,27,179.09388496677602,0.3036918640136719
28,169.551,1958.3999999999994,7580.666666666666,100,100,1085,4.093374930373672,6.986789554531489,4.818816900253296,-1958.3999999999994,-0.016933244379127726,836.9705505371094,0.5051870214588502,0.06908386799178141,0.14376657368505702,28,179.7865161781468,0.3036918640136719
29,175.009,1896.6400000000017,7521.6666666666715,100,100,1088,4.120741912094458,6.913296568627455,4.867113351821899,-1896.6400000000017,-0.012112638310474507,760.1179037655102,0.5319832528338713,0.08085224187850733,0.1488970588235294,29,180.39723589836285,0.3036918640136719
30,187.041,2015.6233333333334,7626.000000000002,100,100,1091,4.086054536735078,6.989917506874429,4.845491647720337,-2015.6233333333334,-0.0003955502373476823,865.4704640706381,0.5602318942546844,0.07558911297625552,0.12760416666666666,30,180.98378311507668,0.3036918640136719
31,192.523,1983.1266666666666,7526.333333333328,100,100,1089,4.088682828717364,6.9112335475971785,4.838659048080444,-1983.1266666666666,-0.013445398304611444,801.2533849080404,0.5920506111449666,0.11118178995740083,0.14539930555555555,31,175.30916576037438,0.3036918640136719
32,197.917,1946.8666666666675,7574.000000000005,100,100,1088,4.079567465262645,6.961397058823533,4.813331127166748,-1946.8666666666675,-0.009545482859453735,743.792922076057,0.4964601266033509,0.07581060464658282,0.1171875,32,176.0285072462607,0.3036918640136719
33,203.391,1989.0966666666666,7636.999999999998,100,100,1088,4.1339255513936655,7.019301470588234,4.891075372695923,-1989.0966666666666,-0.011639084831318435,776.1927741555606,0.5494184739449445,0.09154894863775767,0.13832720588235295,33,176.63969429520995,0.3036918640136719
34,208.83,1933.426666666666,7478.333333333332,100,100,1088,4.110182352258776,6.873468137254901,4.849882125854492,-1933.426666666666,-0.00919216000201071,695.5327794692096,0.5226178756531548,0.1330281220486059,0.11029411764705882,34,177.24909844800578,0.3036918640136719
35,214.327,1981.5833333333328,7654.333333333334,100,100,1087,4.152760165058104,7.041704998466728,4.90678334236145,-1981.5833333333328,-0.0127271160702495,737.7932469985064,0.5343009347424788,0.03908489606178859,0.08282271268613198,35,177.77477872127284,0.3036918640136719
36,219.761,2001.8566666666668,7654.0,100,100,1086,4.10287900457783,7.047882136279926,4.8392462730407715,-2001.8566666666668,-0.00961368514553589,713.7217030244715,0.5466741674086627,0.11452096429489114,0.12944734315661824,36,178.3210306080422,0.3036918640136719
37,225.23,1923.0300000000007,7565.666666666668,100,100,1090,4.095411376062131,6.940978593272172,4.845604419708252,-1923.0300000000007,-0.01878321620946129,621.872944302029,0.5410823168026077,0.09968930522316238,0.0802951388888889,37,178.8304420773082,0.3036918640136719
38,230.744,1892.573333333334,7500.3333333333385,100,100,1091,4.127042621692539,6.87473266116713,4.889859676361084,-1892.573333333334,0.03621629672124982,629.4857838948568,0.5457975930637784,0.13347624980896297,0.09910300953520669,38,179.28618572443352,0.3036918640136719
39,236.164,1972.6300000000003,7760.000000000004,100,100,1088,4.093075827875189,7.132352941176474,4.8311357498168945,-1972.6300000000003,-0.01337162301163463,613.0273859360639,0.5832395255565643,0.08140183753772255,0.10615808823529412,39,179.77758092473695,0.3036918640136719
40,248.217,1986.81,7496.666666666663,100,100,1091,4.120445277586265,6.871371830125264,4.8841283321380615,-1986.81,-0.04996363135675589,618.860437075297,0.5919340844783518,0.09956603966808568,0.12340856509076224,40,180.16434220730994,0.3036918640136719
41,253.754,1932.3300000000004,7564.333333333332,100,100,1089,4.1468620758471175,6.946127946127945,4.89539647102356,-1932.3300000000004,-0.04145405056058533,524.4598125881619,0.5124838116462543,0.05587766094443699,0.0842013888888889,41,175.90651615715595,0.3036918640136719
42,259.311,2058.563333333333,7713.999999999996,100,100,1087,4.171838088341489,7.096596136154551,4.936930894851685,-2058.563333333333,-0.010061831076574676,654.4989516314338,0.5559133860994788,0.1827347212443676,0.10579335919636138,42,176.32868976327018,0.3036918640136719
43,264.853,1951.8033333333337,7426.000000000002,100,100,1088,4.174743289481472,6.825367647058825,4.933330297470093,-1951.8033333333337,-0.01137047995101003,557.3332456700942,0.5656825023538926,0.09263097374316524,0.10845588235294118,43,176.74722632950414,0.3036918640136719
44,270.373,1889.1566666666677,7410.6666666666715,100,100,1088,4.170907811438904,6.811274509803926,4.920240163803101,-1889.1566666666677,-0.013379993355449508,458.94778262867646,0.5473673001808279,0.06839973615098964,0.0822610294117647,44,177.16297017137035,0.3036918640136719
45,275.961,1909.7033333333325,7377.999999999999,100,100,1089,4.197857301396594,6.775022956841138,4.96447229385376,-1909.7033333333325,0.010031362736804618,487.150023566352,0.5968444537785318,0.08042488811123702,0.08159722222222222,45,177.5211710571745,0.3036918640136719
46,281.447,1912.743333333333,7526.666666666664,100,100,1090,4.120936238745211,6.905198776758407,4.872695446014404,-1912.743333333333,-0.03734469936332769,486.5528967115614,0.5335849989808825,0.06245170747085164,0.0720486111111111,46,177.93394164778374,0.3036918640136719
47,286.938,1912.686666666667,7556.333333333331,100,100,1090,4.116024863115862,6.932415902140671,4.878204107284546,-1912.686666666667,0.01023565256036818,499.1573020087348,0.5731965973973274,0.09528501501901904,0.06293402777777778,47,178.32837865101095,0.3036918640136719
48,292.313,2017.0399999999997,7691.666666666662,100,100,1089,4.0229230497418955,7.063054790327514,4.763747453689575,-2017.0399999999997,0.014073828390489021,547.0828043619791,0.5929811915589703,0.05043487800543921,0.06987847222222222,48,178.77436739372297,0.3036918640136719
49,297.815,1982.8799999999994,7636.333333333329,100,100,1089,4.094700917817098,7.012243648607281,4.853615045547485,-1982.8799999999994,-0.04902485820154349,475.83648664752644,0.5833773662579821,0.06796142927164005,0.0802951388888889,49,179.12817985451895,0.3036918640136719
50,309.904,1969.8833333333334,7647.000000000003,100,100,1092,4.067066942504522,7.002747252747255,4.82697057723999,-1969.8833333333334,0.019505649856809113,477.43196784125433,0.5581108331680298,0.08732558995123124,0.10546875,50,179.50632296861838,0.3036918640136719
51,315.284,1943.503333333333,7501.000000000001,100,100,1088,4.049233364104807,6.894301470588236,4.790491104125977,-1943.503333333333,-0.009918958660872543,441.3826311896829,0.5391698164098403,0.23883644894094153,0.11948529411764706,51,176.1173507008051,0.3036918640136719
52,320.721,1972.5400000000009,7519.000000000001,100,100,1090,4.060833577019666,6.898165137614679,4.811803817749023,-1972.5400000000009,-0.04679373812137379,418.5487746132745,0.5511875367826886,0.11927616778605928,0.12022569444444445,52,176.5305120289192,0.3036918640136719
53,326.126,1997.7266666666671,7561.333333333336,100,100,1085,4.077823961814565,6.968970814132106,4.820282220840454,-1997.7266666666671,-0.006931488895240952,462.751028621898,0.5360189720111734,0.10899188983089783,0.0812439727870857,53,176.93160236308043,0.3036918640136719
54,331.514,1957.3366666666664,7624.999999999998,100,100,1089,4.035474107574237,7.0018365472910915,4.774307489395142,-1957.3366666666664,-0.07048018183559179,388.32058993975323,0.5178478309719188,0.09923036045963979,0.07335069444444445,54,177.3406812964038,0.3036918640136719
