step,wall_clock_s,mean_flow_time,makespan,n_completed,n_orders,n_decisions,decision_time_ms,sim_time_per_decision,solve_wall_clock_s,reward_sum,policy_loss,value_loss,entropy,approx_kl,clip_fraction,episode,sps,gpu_mem_gb
1,3.706,2447.9099999999994,7513.66666666667,100,100,989,2.810003537038686,7.59723626558814,2.9825356006622314,-2447.9099999999994,-0.043069491628557444,1911.1389999389648,1.4729899503290653,0.017721783893648535,0.16783405165188015,1,266.85591935408024,0.30143117904663086
2,6.728,2378.9466666666654,7547.666666666665,100,100,994,2.4666267603409047,7.593226022803486,2.649855136871338,-2378.9466666666654,-0.03841044707223773,1817.0768280029297,1.423441231250763,0.020439105306650163,0.19873046898283064,2,294.7357152412327,0.30143117904663086
3,9.844,2344.070000000001,7540.666666666666,100,100,987,2.555507397054569,7.63998649105032,2.717655897140503,-2344.070000000001,-0.037850007647648454,1778.508472442627,1.4048508293926716,0.01911657450546045,0.24513527192175388,3,301.7066421473019,0.30204105377197266
4,13.025,2345.7299999999996,7503.000000000001,100,100,992,2.5929829628899648,7.56350806451613,2.7718312740325928,-2345.7299999999996,-0.023342672910075635,1745.8890228271484,1.3607805483043194,0.026926979153358843,0.24267578125,4,304.1939418665933,0.30222177505493164
5,16.065,2428.9300000000007,7803.333333333331,100,100,989,2.4797072795599218,7.890124705089313,2.6526684761047363,-2428.9300000000007,-0.04113565554143861,1849.9906730651855,1.3212472647428513,0.01819266128950403,0.2534853173419833,5,308.189991375993,0.30222177505493164
6,19.048,2292.506666666667,7471.666666666665,100,100,996,2.39542590189598,7.501673360107094,2.5839641094207764,-2292.506666666667,-0.03527461440535262,1629.4596977233887,1.2958857268095016,0.01954517016929458,0.21511501725763083,6,312.21514255200276,0.30222177505493164
7,22.002,2318.596666666666,7447.000000000002,100,100,985,2.401422842542835,7.56040609137056,2.561868667602539,-2318.596666666666,-0.04202259462908842,1745.0665664672852,1.2691895067691803,0.014430259812797885,0.22730468679219484,7,315.05961300662625,0.30222177505493164
8,24.98,2324.1499999999987,7385.333333333335,100,100,989,2.411300001342953,7.467475564543311,2.5840675830841064,-2324.1499999999987,-0.02781457151286304,1737.614833831787,1.2385028898715973,0.005580737866694108,0.20484240259975195,8,317.09663763191827,0.30222177505493164
9,27.51,2383.21,7499.666666666667,100,100,997,1.96539097205888,7.522233366766968,2.156104803085327,-2383.21,-0.02713081962428987,1769.3087158203125,1.1849246006458998,0.012538103888800833,0.21611064253374934,9,324.1712693754886,0.30222177505493164
10,33.218,2461.76,7988.333333333331,100,100,991,1.992768415731052,8.060881264715773,2.1749026775360107,-2461.76,-0.026644605735782534,1892.7493629455566,1.2781804539263248,0.02643433312914567,0.20164440479129553,10,329.67988412400507,0.30222177505493164
